HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BWH,BWD,BWA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,Max<2.5,Max>2.5,Avg<2.5,Avg>2.5,TotalGoals,FTRodds_feedback,Goalsodds_feedback,Day,Month,Year,Day_of_week
Estoril,Sp Lisbon,0,1,A,5.25,3.8,1.57,5.5,3.9,1.58,6.8,3.96,1.65,6.08,3.74,1.59,2.05,1.75,1.82,2.16,1.78,2.04,1.0,True,True,19,9,2021,6
Sp Lisbon,Maritimo,1,0,H,1.22,5.5,13.0,1.27,5.25,12.0,1.31,6.2,15.0,1.26,5.59,12.56,1.85,1.95,2.07,1.91,1.98,1.83,1.0,True,False,24,9,2021,4
Arouca,Sp Lisbon,1,2,A,8.5,4.2,1.4,7.0,3.8,1.42,9.5,4.5,1.47,8.08,4.22,1.43,2.0,1.8,1.93,2.08,1.83,1.98,3.0,True,False,2,10,2021,5
Sp Lisbon,Moreirense,1,0,H,1.22,5.75,13.0,1.21,6.0,14.5,1.25,6.54,15.61,1.23,5.96,12.59,1.72,2.07,2.25,1.78,2.13,1.7,1.0,True,False,23,10,2021,5
Sp Lisbon,Guimaraes,1,0,H,1.53,4.2,5.5,1.49,4.2,6.0,1.55,4.57,6.87,1.51,4.24,6.04,1.8,2.0,2.07,1.89,1.98,1.82,1.0,True,False,30,10,2021,5
Pacos Ferreira,Sp Lisbon,0,2,A,7.0,3.8,1.5,6.0,4.0,1.53,7.8,4.13,1.56,6.77,3.93,1.52,2.05,1.75,1.85,2.09,1.78,2.02,2.0,True,True,7,11,2021,6
Sp Lisbon,Tondela,2,0,H,1.2,6.0,19.0,1.21,6.0,15.5,1.23,6.55,19.0,1.2,6.21,14.59,1.61,2.25,2.35,1.68,2.27,1.62,2.0,True,False,28,11,2021,6
Benfica,Sp Lisbon,1,3,A,2.05,3.4,3.6,1.88,3.3,4.2,2.06,3.56,4.4,1.99,3.41,3.85,1.95,1.9,1.94,2.01,1.88,1.93,4.0,False,False,3,12,2021,4
Sp Lisbon,Boavista,2,0,H,1.18,6.5,15.0,1.16,7.0,18.5,1.2,8.1,21.0,1.18,6.89,16.24,1.6,2.3,2.35,1.67,2.29,1.61,2.0,True,False,11,12,2021,5
Gil Vicente,Sp Lisbon,0,3,A,6.0,4.0,1.53,6.25,4.1,1.51,7.2,4.21,1.56,6.4,4.07,1.52,1.95,1.9,1.93,2.03,1.87,1.94,3.0,True,False,18,12,2021,5
Sp Lisbon,Portimonense,3,2,H,1.3,5.25,11.0,1.27,5.5,11.0,1.3,5.8,14.0,1.27,5.35,11.59,1.8,2.0,2.08,1.87,2.01,1.8,5.0,True,True,29,12,2021,2
Santa Clara,Sp Lisbon,3,2,H,8.5,4.5,1.4,8.0,4.33,1.41,9.3,4.66,1.46,8.17,4.45,1.41,1.9,1.95,2.03,1.97,1.94,1.87,5.0,False,True,7,1,2022,4
Vizela,Sp Lisbon,0,2,A,10.0,5.75,1.28,10.5,5.5,1.27,12.0,5.8,1.3,10.64,5.53,1.27,1.72,2.07,2.24,1.76,2.13,1.7,2.0,True,False,16,1,2022,6
Sp Lisbon,Sp Braga,1,2,A,1.6,4.0,5.5,1.53,4.1,5.75,1.63,4.2,5.99,1.59,3.98,5.6,1.8,2.0,2.07,1.92,1.98,1.82,3.0,False,True,22,1,2022,5
Belenenses,Sp Lisbon,1,4,A,10.0,5.5,1.25,11.0,5.5,1.26,13.3,6.46,1.28,11.95,5.64,1.25,1.66,2.15,2.35,1.77,2.15,1.7,5.0,True,True,2,2,2022,2
Sp Lisbon,Famalicao,2,0,H,1.33,4.5,10.0,1.34,4.6,9.75,1.37,5.51,10.0,1.34,4.94,8.87,1.72,2.07,2.15,1.81,2.07,1.75,2.0,True,False,6,2,2022,6
Porto,Sp Lisbon,2,2,D,2.0,3.3,4.0,2.05,3.2,3.7,2.3,3.5,4.0,2.07,3.29,3.76,2.1,1.7,1.83,2.26,1.73,2.11,4.0,False,False,11,2,2022,4
Sp Lisbon,Estoril,3,0,H,1.25,5.5,12.0,1.27,5.5,11.0,1.27,6.03,14.0,1.25,5.64,11.77,1.72,2.07,2.21,1.78,2.11,1.72,3.0,True,True,20,2,2022,6
Maritimo,Sp Lisbon,1,1,D,8.0,4.5,1.4,8.0,4.4,1.39,9.2,4.8,1.42,8.07,4.56,1.4,1.85,2.0,2.05,1.88,1.98,1.82,2.0,False,False,26,2,2022,5
Sp Lisbon,Arouca,2,0,H,1.28,6.0,9.5,1.25,5.5,12.5,1.28,6.0,14.0,1.25,5.72,11.76,1.66,2.15,2.25,1.77,2.14,1.7,2.0,True,False,5,3,2022,5
Moreirense,Sp Lisbon,0,2,A,8.0,4.75,1.4,6.5,4.4,1.46,8.0,4.75,1.47,7.32,4.42,1.43,1.9,1.95,2.0,1.92,1.94,1.86,2.0,True,False,14,3,2022,0
Guimaraes,Sp Lisbon,1,3,A,5.0,3.5,1.65,5.25,3.75,1.63,5.25,4.1,1.71,4.94,3.91,1.66,1.8,2.05,2.09,1.88,2.0,1.81,4.0,True,True,19,3,2022,5
Sp Lisbon,Pacos Ferreira,2,0,H,1.22,6.0,12.0,1.22,6.0,13.0,1.24,6.5,21.0,1.21,6.07,15.19,1.72,2.07,2.16,1.87,2.07,1.76,2.0,True,False,3,4,2022,6
Tondela,Sp Lisbon,1,3,A,9.0,4.33,1.3,9.0,4.75,1.34,11.0,5.22,1.35,9.57,4.97,1.33,1.8,2.0,2.13,1.85,2.04,1.77,4.0,True,True,9,4,2022,5
Sp Lisbon,Benfica,0,2,A,1.95,3.4,3.6,2.05,3.3,3.5,2.15,3.76,3.83,2.07,3.42,3.53,1.95,1.9,2.05,1.97,1.93,1.86,2.0,False,False,17,4,2022,6
Boavista,Sp Lisbon,0,3,A,7.0,4.2,1.44,7.0,4.4,1.43,8.5,4.55,1.46,7.62,4.36,1.42,1.95,1.9,1.93,2.0,1.86,1.93,3.0,True,False,25,4,2022,0
Sp Lisbon,Gil Vicente,4,1,H,1.33,5.5,8.5,1.32,4.8,9.5,1.35,5.5,10.0,1.33,5.07,9.13,1.72,2.07,2.19,1.79,2.1,1.73,5.0,True,True,1,5,2022,6
Portimonense,Sp Lisbon,2,3,A,7.5,5.0,1.36,8.0,4.6,1.37,8.75,5.18,1.4,8.09,4.86,1.37,1.7,2.1,2.21,1.79,2.13,1.72,5.0,True,True,7,5,2022,5
Sp Lisbon,Santa Clara,4,0,H,1.22,7.0,9.0,1.22,7.0,9.75,1.23,7.0,14.0,1.22,6.56,11.96,1.44,2.7,2.8,1.51,2.64,1.47,4.0,True,True,14,5,2022,5
Sp Braga,Sp Lisbon,3,3,D,3.75,3.25,1.9,3.3,3.4,1.98,3.79,3.73,2.06,3.6,3.47,2.01,1.98,1.88,1.92,2.03,1.85,1.94,6.0,False,False,7,8,2022,6
Sp Lisbon,Rio Ave,3,0,H,1.22,6.0,11.0,1.23,6.0,12.0,1.25,7.0,17.54,1.22,6.19,13.82,1.7,2.1,2.2,1.78,2.13,1.71,3.0,True,True,13,8,2022,5
Porto,Sp Lisbon,3,0,H,2.1,3.3,3.5,2.05,3.4,3.4,2.17,3.7,3.72,2.1,3.43,3.5,1.98,1.88,1.95,2.04,1.87,1.94,3.0,True,False,20,8,2022,5
Sp Lisbon,Chaves,0,2,A,1.18,7.0,19.0,1.19,6.75,14.0,1.21,7.1,19.0,1.19,6.71,15.0,1.53,2.4,2.52,1.59,2.41,1.55,2.0,False,False,27,8,2022,5
Estoril,Sp Lisbon,0,2,A,6.5,4.33,1.45,6.25,4.33,1.47,7.5,4.55,1.5,6.63,4.41,1.47,1.7,2.1,2.17,1.81,2.1,1.74,2.0,True,False,2,9,2022,4
Sp Lisbon,Portimonense,4,0,H,1.33,5.5,8.0,1.34,5.0,8.25,1.35,5.6,10.39,1.32,5.15,9.19,1.65,2.2,2.32,1.76,2.2,1.66,4.0,True,True,10,9,2022,5
Boavista,Sp Lisbon,2,1,H,6.5,4.33,1.45,6.5,4.33,1.47,8.0,4.5,1.5,6.93,4.28,1.47,1.88,1.98,2.0,1.91,1.95,1.85,3.0,False,True,17,9,2022,5
Sp Lisbon,Gil Vicente,3,1,H,1.3,5.0,9.5,1.31,5.25,9.0,1.31,5.9,11.0,1.3,5.45,9.71,1.6,2.3,2.42,1.67,2.28,1.62,4.0,True,True,30,9,2022,4
Santa Clara,Sp Lisbon,1,2,A,5.75,4.0,1.5,5.75,4.1,1.53,7.01,4.44,1.54,6.28,4.16,1.51,1.88,1.98,2.03,1.92,1.95,1.85,3.0,True,True,8,10,2022,5
Sp Lisbon,Casa Pia,3,1,H,1.28,5.0,9.0,1.3,5.0,10.5,1.33,5.83,12.0,1.29,5.29,10.22,1.75,2.05,2.17,1.82,2.07,1.75,4.0,True,True,22,10,2022,5
Arouca,Sp Lisbon,1,0,H,7.0,4.2,1.45,6.75,4.33,1.46,8.0,4.63,1.53,6.92,4.3,1.45,1.9,1.95,1.98,1.94,1.9,1.87,1.0,False,False,29,10,2022,5
Sp Lisbon,Guimaraes,3,0,H,1.33,5.25,8.0,1.33,5.0,8.5,1.35,5.4,11.0,1.33,5.11,9.0,1.7,2.1,2.22,1.78,2.12,1.71,3.0,True,True,5,11,2022,5
Famalicao,Sp Lisbon,1,2,A,5.5,3.75,1.65,5.0,3.8,1.65,5.64,4.0,1.68,5.19,3.83,1.65,1.85,2.0,2.05,1.88,1.97,1.83,3.0,True,True,13,11,2022,6
Sp Lisbon,Pacos Ferreira,3,0,H,1.13,8.0,21.0,1.15,7.75,18.0,1.15,9.0,26.0,1.14,8.08,20.17,1.44,2.7,2.75,1.49,2.61,1.46,3.0,True,True,29,12,2022,3
Maritimo,Sp Lisbon,1,0,H,9.0,4.5,1.4,7.5,4.8,1.36,9.0,5.2,1.4,7.98,4.85,1.38,1.67,2.15,2.28,1.74,2.15,1.69,1.0,False,False,8,1,2023,6
Benfica,Sp Lisbon,2,2,D,1.8,3.75,3.8,1.83,3.6,4.0,1.87,4.0,4.25,1.83,3.79,3.98,1.7,2.1,2.24,1.81,2.11,1.72,4.0,False,True,15,1,2023,6
Sp Lisbon,Vizela,2,1,H,1.29,5.75,8.5,1.28,5.25,10.5,1.33,6.0,11.23,1.28,5.6,10.2,1.6,2.3,2.39,1.68,2.31,1.61,3.0,True,True,20,1,2023,4
Sp Lisbon,Sp Braga,5,0,H,1.91,3.6,3.75,1.93,3.5,3.75,2.0,3.81,3.85,1.94,3.63,3.72,1.83,2.02,2.07,1.87,2.0,1.81,5.0,True,True,1,2,2023,2
Rio Ave,Sp Lisbon,0,1,A,7.0,4.33,1.5,6.25,4.2,1.49,7.5,4.6,1.5,6.62,4.34,1.47,1.73,2.08,2.15,1.8,2.07,1.74,1.0,True,False,6,2,2023,0
Sp Lisbon,Porto,1,2,A,2.6,3.25,2.55,2.65,3.25,2.55,2.76,3.47,2.69,2.68,3.33,2.59,2.05,1.8,1.86,2.11,1.81,2.0,3.0,True,False,12,2,2023,6
Chaves,Sp Lisbon,2,3,A,6.5,4.75,1.44,6.25,4.6,1.44,7.0,5.1,1.5,6.3,4.77,1.45,1.57,2.35,2.43,1.63,2.34,1.59,5.0,True,True,20,2,2023,0
Sp Lisbon,Estoril,2,0,H,1.22,6.5,10.0,1.22,6.5,11.0,1.23,7.2,15.0,1.21,6.56,12.66,1.53,2.4,2.7,1.56,2.52,1.51,2.0,True,False,27,2,2023,0
Portimonense,Sp Lisbon,0,1,A,8.0,4.5,1.36,7.75,4.75,1.37,8.8,5.1,1.4,8.1,4.81,1.38,1.7,2.1,2.22,1.74,2.17,1.68,1.0,True,False,4,3,2023,5
Sp Lisbon,Boavista,3,0,H,1.25,5.75,12.0,1.24,6.0,11.0,1.26,6.5,15.0,1.24,5.98,12.06,1.65,2.2,2.3,1.7,2.23,1.64,3.0,True,True,12,3,2023,6
Sp Lisbon,Santa Clara,3,0,H,1.13,7.0,19.0,1.14,7.75,18.0,1.17,9.2,26.0,1.14,8.1,19.58,1.5,2.5,2.6,1.56,2.49,1.52,3.0,True,True,1,4,2023,5
Gil Vicente,Sp Lisbon,0,0,D,6.0,4.33,1.45,6.0,4.2,1.49,7.53,4.6,1.49,6.85,4.45,1.46,1.73,2.08,2.17,1.78,2.1,1.73,0.0,False,False,5,4,2023,2
Casa Pia,Sp Lisbon,3,4,A,8.5,4.5,1.4,7.0,4.5,1.42,9.14,4.6,1.45,7.9,4.4,1.42,1.93,1.93,1.98,1.98,1.9,1.89,7.0,True,True,9,4,2023,6
Sp Lisbon,Arouca,1,1,D,1.2,7.0,12.0,1.19,6.75,13.0,1.2,7.7,17.0,1.19,7.05,14.81,1.48,2.6,2.7,1.52,2.61,1.47,2.0,False,False,16,4,2023,6
Guimaraes,Sp Lisbon,0,2,A,5.5,4.0,1.55,5.25,4.2,1.57,5.6,4.5,1.6,5.32,4.25,1.57,1.67,2.15,2.33,1.7,2.24,1.63,2.0,True,False,24,4,2023,0
Sp Lisbon,Famalicao,2,1,H,1.3,5.5,10.0,1.27,5.75,9.75,1.3,6.2,12.76,1.27,5.66,10.82,1.6,2.3,2.37,1.66,2.3,1.6,3.0,True,True,30,4,2023,6
Pacos Ferreira,Sp Lisbon,0,4,A,7.0,5.0,1.36,8.0,5.0,1.35,9.2,5.4,1.4,8.25,5.04,1.36,1.65,2.2,2.34,1.67,2.23,1.64,4.0,True,True,7,5,2023,6
Sp Lisbon,Maritimo,2,1,H,1.2,6.5,9.5,1.21,6.75,12.0,1.22,7.1,15.33,1.2,6.64,13.7,1.5,2.5,2.66,1.54,2.55,1.5,3.0,True,True,13,5,2023,5
Sp Lisbon,Benfica,2,2,D,2.55,3.3,2.5,2.55,3.6,2.5,2.74,3.65,2.63,2.63,3.5,2.55,1.73,2.08,2.14,1.8,2.06,1.76,4.0,False,True,21,5,2023,6
Vizela,Sp Lisbon,1,2,A,6.5,4.75,1.45,6.0,4.6,1.46,6.8,5.1,1.5,6.25,4.74,1.46,1.53,2.4,2.6,1.57,2.48,1.53,3.0,True,True,26,5,2023,4
Sp Lisbon,Vizela,3,2,H,1.14,6.5,17.0,1.18,6.75,16.0,1.19,8.1,21.0,1.17,7.23,16.63,1.57,2.35,2.47,1.61,2.4,1.56,5.0,True,True,12,8,2023,5
Casa Pia,Sp Lisbon,1,2,A,7.5,4.33,1.44,6.75,4.5,1.43,8.0,4.8,1.47,7.3,4.56,1.43,1.73,2.08,2.14,1.8,2.07,1.75,3.0,True,True,18,8,2023,4
Sp Braga,Sp Lisbon,1,1,D,2.9,3.8,2.2,3.0,3.5,2.2,3.08,3.8,2.36,2.99,3.55,2.26,1.75,2.05,2.1,1.84,2.04,1.77,2.0,False,False,3,9,2023,6
Sp Lisbon,Moreirense,3,0,H,1.22,6.0,13.0,1.22,6.25,12.5,1.24,7.2,14.0,1.22,6.38,12.36,1.57,2.35,2.47,1.61,2.37,1.57,3.0,True,True,17,9,2023,6
Sp Lisbon,Rio Ave,2,0,H,1.2,6.0,15.0,1.21,6.5,13.0,1.22,7.6,15.0,1.2,6.7,13.55,1.57,2.35,2.45,1.62,2.39,1.56,2.0,True,False,25,9,2023,0
Farense,Sp Lisbon,2,3,A,6.5,4.5,1.45,6.25,4.6,1.44,7.0,4.8,1.49,6.54,4.61,1.45,1.6,2.3,2.38,1.71,2.28,1.61,5.0,True,True,30,9,2023,5
Sp Lisbon,Arouca,2,1,H,1.22,5.0,11.0,1.24,5.75,11.0,1.28,6.7,13.0,1.25,5.91,11.27,1.6,2.3,2.45,1.65,2.33,1.59,3.0,True,True,8,10,2023,6
Boavista,Sp Lisbon,0,2,A,6.0,4.5,1.45,6.0,4.4,1.49,6.7,4.75,1.51,6.3,4.54,1.48,1.6,2.3,2.36,1.66,2.3,1.62,2.0,True,False,30,10,2023,0
