HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BWH,BWD,BWA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,Max<2.5,Max>2.5,Avg<2.5,Avg>2.5,Dia_da_Semana,Day,Month,Day_of_week,Date
99.0,19.0,2,0,0,2.1,3.6,3.3,2.15,3.6,3.2,2.28,3.78,3.44,2.2,3.58,3.26,1.85,2.05,2.09,1.91,2.02,1.83,2,15,12,2,
0.0,99.0,1,4,0,3.9,3.8,1.83,3.9,3.8,1.85,4.0,3.95,1.98,3.89,3.78,1.91,1.72,2.1,2.22,1.81,2.11,1.75,5,18,12,5,
0.0,99.0,0,5,0,8.0,4.75,1.4,6.75,4.75,1.43,8.3,5.0,1.46,7.73,4.77,1.42,1.72,2.1,2.16,1.85,2.07,1.78,6,26,12,6,
99.0,13.0,1,2,0,5.75,4.75,1.5,6.0,4.6,1.49,6.27,4.9,1.59,5.91,4.62,1.53,1.57,2.37,2.51,1.63,2.4,1.58,5,1,1,5,
99.0,0.0,0,0,0,1.36,4.75,9.0,1.37,4.75,9.0,1.42,5.3,11.25,1.36,4.97,9.11,1.8,2.0,2.15,1.83,2.09,1.76,6,23,1,6,
20.0,99.0,0,1,0,3.5,3.2,2.2,3.6,3.2,2.15,3.75,3.42,2.28,3.57,3.25,2.2,2.3,1.61,1.7,2.41,1.63,2.31,3,10,2,3,
99.0,4.0,2,1,0,1.44,4.2,8.0,1.46,4.5,7.0,1.5,4.6,8.5,1.46,4.46,7.68,1.97,1.93,1.94,2.02,1.88,1.96,5,19,2,5,
99.0,20.0,2,1,0,1.65,3.8,5.5,1.62,3.75,5.75,1.7,4.0,6.25,1.65,3.8,5.83,2.2,1.66,1.74,2.34,1.67,2.23,3,24,2,3,
0.0,99.0,2,3,0,6.0,4.0,1.57,6.0,3.9,1.58,6.6,4.18,1.65,6.14,4.02,1.59,2.05,1.85,1.87,2.1,1.82,2.02,6,6,3,6,
99.0,11.0,2,0,0,1.5,4.5,6.0,1.49,4.6,6.0,1.58,4.74,6.5,1.53,4.55,6.0,1.61,2.3,2.4,1.67,2.31,1.63,6,13,3,6,
99.0,12.0,0,2,0,3.5,4.0,1.9,3.4,4.0,1.93,4.0,4.25,1.98,3.78,3.98,1.92,1.72,2.1,2.25,1.8,2.15,1.72,2,16,3,2,
2.0,99.0,0,1,0,3.0,3.3,2.4,2.9,3.5,2.35,3.1,3.6,2.52,2.99,3.47,2.41,1.92,1.98,2.01,1.93,1.96,1.87,5,19,3,5,
7.0,99.0,3,0,0,4.0,3.4,1.95,4.1,3.3,1.93,4.25,3.56,2.06,4.05,3.41,1.99,2.1,1.72,1.81,2.22,1.73,2.13,0,4,4,0,
99.0,5.0,1,2,0,1.61,3.8,5.75,1.6,4.0,5.5,1.7,4.05,6.0,1.65,3.9,5.64,2.04,1.86,1.88,2.12,1.81,2.01,5,9,4,5,
