Date,Hour,Latitude,Longitude,Temperature,Precipitation,WeatherCode
18/09/2020,20,41.4425,-8.2918,20.5,0.0,3.0
27/09/2020,20,41.3623,-8.7367,17.0,0.0,0.0
02/10/2020,20,41.4425,-8.2918,11.4,0.0,1.0
19/10/2020,20,41.1579,-8.6291,16.1,0.3,51.0
25/10/2020,20,41.4425,-8.2918,9.6,0.5,53.0
01/11/2020,20,41.5321,-8.618,17.7,0.0,3.0
27/11/2020,20,38.7223,-9.1393,13.2,0.0,0.0
05/12/2020,20,41.4425,-8.2918,4.6,0.0,1.0
21/12/2020,20,37.7394,-25.6687,15.8,0.2,51.0
29/12/2020,20,41.4425,-8.2918,4.2,0.0,0.0
09/01/2021,20,41.3879,-8.3412,3.0,0.0,2.0
21/01/2021,20,41.4425,-8.2918,12.0,0.3,51.0
24/01/2021,20,41.408,-8.5188,11.4,0.8,53.0
31/01/2021,20,41.4425,-8.2918,13.1,0.8,53.0
08/02/2021,20,38.7223,-9.1393,12.3,0.0,3.0
13/02/2021,20,41.4425,-8.2918,12.3,0.0,3.0
17/02/2021,20,41.4425,-8.2918,12.8,0.5,53.0
21/02/2021,20,38.7223,-9.1393,10.3,0.0,0.0
26/02/2021,20,41.4425,-8.2918,12.6,0.0,3.0
09/03/2021,20,41.5454,-8.4265,9.2,0.0,3.0
14/03/2021,20,41.4425,-8.2918,10.6,0.0,0.0
04/04/2021,20,41.4425,-8.2918,15.3,0.0,0.0
09/04/2021,20,38.7223,-9.1393,15.2,0.0,2.0
17/04/2021,20,41.4425,-8.2918,14.0,0.0,0.0
22/04/2021,20,41.1579,-8.6291,15.4,0.0,3.0
26/04/2021,20,32.6707,-16.9241,17.1,0.0,2.0
30/04/2021,20,41.4425,-8.2918,11.8,0.0,0.0
06/05/2021,20,37.0194,-7.9307,22.4,0.0,0.0
12/05/2021,20,41.4425,-8.2918,12.8,0.0,2.0
16/05/2021,20,38.7223,-9.1393,18.6,0.0,0.0
19/05/2021,20,41.4425,-8.2918,18.2,0.0,0.0
08/08/2021,20,41.4425,-8.2918,19.6,0.0,2.0
13/08/2021,20,38.7167,-9.3977,22.3,0.0,0.0
22/08/2021,20,41.4425,-8.2918,26.2,0.0,0.0
29/08/2021,20,41.5454,-8.4265,19.3,0.0,3.0
12/09/2021,20,41.4425,-8.2918,21.8,0.0,3.0
18/09/2021,20,40.9312,-8.2437,14.8,0.0,0.0
25/09/2021,20,41.4425,-8.2918,16.0,0.0,1.0
01/10/2021,20,41.408,-8.5188,18.6,0.0,3.0
22/10/2021,20,41.4425,-8.2918,13.2,0.0,0.0
06/11/2021,20,41.4425,-8.2918,7.9,0.0,1.0
28/11/2021,20,41.1579,-8.6291,11.6,0.0,1.0
04/12/2021,20,38.7223,-9.1393,12.1,0.0,0.0
11/12/2021,20,41.4425,-8.2918,10.6,0.0,3.0
17/12/2021,20,37.7394,-25.6687,15.5,0.0,3.0
29/12/2021,20,41.4425,-8.2918,12.4,0.0,3.0
10/01/2022,20,41.5321,-8.618,10.0,0.0,0.0
17/01/2022,20,38.7223,-9.1393,11.4,0.0,3.0
23/01/2022,20,41.4425,-8.2918,7.7,0.0,0.0
30/01/2022,20,38.7223,-9.1393,13.0,0.0,0.0
05/02/2022,20,41.4425,-8.2918,8.1,0.0,0.0
13/02/2022,20,38.7223,-9.1393,13.1,0.1,51.0
19/02/2022,20,41.4425,-8.2918,7.4,0.0,0.0
27/02/2022,20,38.7223,-9.1393,12.7,0.0,0.0
06/03/2022,20,41.4425,-8.2918,8.2,0.0,3.0
13/03/2022,20,38.7223,-9.1393,11.4,0.0,3.0
03/04/2022,20,41.3879,-8.3412,9.0,0.0,0.0
10/04/2022,20,41.4425,-8.2918,13.9,0.0,2.0
15/04/2022,20,41.4425,-8.2918,16.4,0.0,2.0
24/04/2022,20,38.7223,-9.1393,14.0,0.0,0.0
01/05/2022,20,41.4425,-8.2918,13.4,0.0,3.0
06/05/2022,20,41.1579,-8.6291,16.9,0.0,0.0
15/05/2022,20,41.4425,-8.2918,16.8,0.0,3.0
07/08/2022,20,38.7223,-9.1393,20.7,0.0,0.0
14/08/2022,20,41.4425,-8.2918,19.9,0.0,0.0
21/08/2022,20,38.7223,-9.1393,20.7,0.0,1.0
29/08/2022,20,41.4425,-8.2918,20.1,0.0,0.0
03/09/2022,20,41.5454,-8.4265,18.0,0.0,0.0
09/09/2022,20,41.4425,-8.2918,20.7,0.0,0.0
18/09/2022,20,40.9312,-8.2437,25.6,0.0,2.0
01/10/2022,20,41.4425,-8.2918,16.3,0.0,0.0
08/10/2022,20,38.7223,-9.1393,21.1,0.0,0.0
23/10/2022,20,41.4425,-8.2918,14.0,1.9,61.0
31/10/2022,20,41.4425,-8.2918,11.8,0.0,1.0
13/11/2022,20,41.4425,-8.2918,14.8,2.5,63.0
30/12/2022,20,38.7223,-9.1393,15.6,0.0,3.0
07/01/2023,20,41.4425,-8.2918,11.3,0.5,53.0
16/01/2023,20,41.5321,-8.618,12.4,0.3,51.0
21/01/2023,20,41.4425,-8.2918,9.4,0.0,0.0
30/01/2023,20,41.4425,-8.2918,4.3,0.0,0.0
04/02/2023,20,38.7167,-9.3977,11.5,0.0,0.0
11/02/2023,20,41.4425,-8.2918,7.8,0.0,0.0
19/02/2023,20,38.7223,-9.1393,13.9,0.0,2.0
27/02/2023,20,41.4425,-8.2918,6.2,0.0,0.0
05/03/2023,20,37.7394,-25.6687,14.4,0.0,0.0
11/03/2023,20,41.4425,-8.2918,13.5,0.0,3.0
18/03/2023,20,38.7223,-9.1393,13.4,0.0,0.0
01/04/2023,20,41.4425,-8.2918,13.1,0.0,0.0
07/04/2023,20,41.1579,-8.6291,13.8,0.0,1.0
14/04/2023,20,41.408,-8.5188,13.4,0.0,1.0
29/04/2023,20,38.7223,-9.1393,18.4,0.0,3.0
07/05/2023,20,41.4425,-8.2918,17.8,0.0,0.0
14/05/2023,20,41.3623,-8.7367,16.9,0.0,2.0
