Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BWH,BWD,BWA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,Max<2.5,Max>2.5,Avg<2.5,Avg>2.5,WeekDay,Season
27/09/2021,Venezia,Torino,1,1,D,3.6,3.5,2.05,3.6,3.4,2.1,3.7,3.6,2.17,3.54,3.48,2.11,1.9,1.9,2.05,1.95,1.96,1.87,0,2021/2022
02/10/2021,Torino,Juventus,0,1,A,4.5,3.5,1.8,4.2,3.4,1.9,4.76,3.7,1.95,4.46,3.53,1.86,1.96,1.94,2.05,2.0,1.92,1.91,5,2021/2022
17/10/2021,Napoli,Torino,1,0,H,1.4,4.5,8.5,1.36,4.75,8.5,1.47,4.9,8.5,1.42,4.68,7.78,1.66,2.2,2.29,1.74,2.23,1.66,6,2021/2022
22/10/2021,Torino,Genoa,3,2,H,1.7,3.7,5.0,1.83,3.5,4.4,1.85,3.9,5.51,1.73,3.76,4.99,1.9,1.9,2.03,1.98,1.94,1.89,4,2021/2022
26/10/2021,Milan,Torino,1,0,H,1.6,4.0,5.5,1.55,4.2,5.75,1.79,4.2,6.09,1.64,3.94,5.47,1.72,2.1,2.2,1.82,2.11,1.75,1,2021/2022
30/10/2021,Torino,Sampdoria,3,0,H,1.9,3.75,3.8,1.9,3.7,3.9,1.98,3.88,4.11,1.92,3.67,3.93,1.72,2.1,2.2,1.83,2.09,1.75,5,2021/2022
06/11/2021,Spezia,Torino,1,0,H,3.6,3.6,2.0,3.6,3.5,2.0,3.75,3.72,2.12,3.56,3.56,2.07,1.72,2.1,2.14,1.85,2.07,1.77,5,2021/2022
22/11/2021,Torino,Udinese,2,1,H,2.05,3.4,3.7,2.05,3.25,3.8,2.2,3.52,4.0,2.09,3.32,3.74,2.2,1.66,1.75,2.27,1.7,2.16,0,2021/2022
28/11/2021,Roma,Torino,1,0,H,1.72,4.0,4.5,1.66,4.1,4.6,1.76,4.2,5.25,1.71,3.98,4.69,1.8,2.0,2.12,1.86,2.04,1.78,6,2021/2022
02/12/2021,Torino,Empoli,2,2,D,1.72,3.8,4.75,1.73,3.8,4.5,1.83,3.88,5.02,1.77,3.7,4.69,1.9,2.03,2.05,1.91,1.98,1.83,3,2021/2022
06/12/2021,Cagliari,Torino,1,1,D,3.5,3.2,2.25,3.25,3.3,2.2,3.5,3.48,2.65,3.23,3.26,2.32,2.0,1.8,1.87,2.17,1.76,2.06,0,2021/2022
12/12/2021,Torino,Bologna,2,1,H,2.2,3.25,3.5,2.3,3.3,3.1,2.36,3.4,3.55,2.28,3.23,3.37,2.1,1.72,1.82,2.14,1.77,2.07,6,2021/2022
19/12/2021,Torino,Verona,1,0,H,2.2,3.4,3.3,2.25,3.4,3.2,2.29,3.5,3.53,2.23,3.37,3.34,1.98,1.92,1.99,2.05,1.89,1.93,6,2021/2022
22/12/2021,Inter,Torino,1,0,H,1.3,5.5,10.0,1.3,5.5,10.0,1.38,5.8,11.0,1.33,5.41,9.5,1.57,2.37,2.45,1.7,2.34,1.62,2,2021/2022
10/01/2022,Torino,Fiorentina,4,0,H,,,,,,,,,,,,,,,,,,,0,2021/2022
15/01/2022,Sampdoria,Torino,1,2,A,3.0,3.2,2.45,2.87,3.1,2.55,3.2,3.35,2.62,3.03,3.22,2.46,2.03,1.87,1.89,2.09,1.83,2.0,5,2021/2022
23/01/2022,Torino,Sassuolo,1,1,D,2.1,3.6,3.3,2.05,3.5,3.5,2.2,3.7,3.71,2.12,3.55,3.42,1.66,2.2,2.36,1.73,2.22,1.67,6,2021/2022
06/02/2022,Udinese,Torino,2,0,H,3.1,3.3,2.37,3.0,3.3,2.37,3.23,3.39,2.54,3.08,3.25,2.42,2.1,1.72,1.8,2.19,1.73,2.12,6,2021/2022
12/02/2022,Torino,Venezia,1,2,A,1.5,4.2,7.0,1.47,4.4,6.5,1.54,4.54,8.0,1.5,4.26,6.98,1.91,1.99,2.03,1.94,1.94,1.88,5,2021/2022
18/02/2022,Juventus,Torino,1,1,D,1.57,3.75,6.5,1.63,3.7,5.75,1.74,3.9,6.8,1.64,3.73,6.16,2.1,1.72,1.83,2.2,1.75,2.11,4,2021/2022
27/02/2022,Torino,Cagliari,1,2,A,1.65,3.8,5.5,1.63,3.6,6.25,1.72,4.0,6.48,1.67,3.68,5.79,2.01,1.89,1.93,2.04,1.87,1.96,6,2021/2022
06/03/2022,Bologna,Torino,0,0,D,2.8,3.2,2.5,2.75,3.1,2.65,2.91,3.32,2.85,2.81,3.18,2.68,2.07,1.83,1.85,2.12,1.8,2.04,6,2021/2022
13/03/2022,Torino,Inter,1,1,D,5.5,3.6,1.66,5.25,3.8,1.65,6.0,4.14,1.75,5.32,3.87,1.68,1.85,2.05,2.09,1.91,2.01,1.82,6,2021/2022
18/03/2022,Genoa,Torino,1,0,H,3.2,3.1,2.4,3.2,3.1,2.37,3.4,3.28,2.5,3.24,3.16,2.41,2.37,1.57,1.69,2.45,1.6,2.36,4,2021/2022
02/04/2022,Salernitana,Torino,0,1,A,4.0,3.6,1.9,4.2,3.4,1.9,4.5,3.72,1.95,4.28,3.55,1.9,2.07,1.83,1.86,2.09,1.8,2.03,5,2021/2022
10/04/2022,Torino,Milan,0,0,D,4.2,3.5,1.9,4.1,3.4,1.93,4.4,3.72,2.05,4.19,3.51,1.94,2.1,1.72,1.81,2.22,1.75,2.11,6,2021/2022
16/04/2022,Lazio,Torino,1,1,D,1.65,3.8,5.5,1.62,3.75,5.75,1.71,4.1,6.0,1.64,3.92,5.54,2.04,1.86,1.96,2.04,1.86,1.97,5,2021/2022
23/04/2022,Torino,Spezia,2,1,H,1.66,3.6,5.5,1.68,3.75,5.0,1.72,4.0,5.75,1.69,3.77,5.33,2.04,1.86,1.87,2.11,1.82,2.01,5,2021/2022
27/04/2022,Atalanta,Torino,4,4,D,1.6,4.0,5.75,1.6,4.2,5.25,1.64,4.34,6.5,1.6,4.17,5.66,1.8,2.0,2.13,1.84,2.06,1.78,2,2021/2022
01/05/2022,Empoli,Torino,1,3,A,2.7,3.4,2.55,2.65,3.4,2.55,2.91,3.7,2.72,2.77,3.45,2.55,1.83,2.07,2.11,1.89,2.02,1.81,6,2021/2022
07/05/2022,Torino,Napoli,0,1,A,3.6,3.5,2.05,3.5,3.5,2.05,3.7,3.81,2.1,3.56,3.64,2.05,1.8,2.0,2.11,1.85,2.05,1.79,5,2021/2022
14/05/2022,Verona,Torino,0,1,A,2.3,3.5,3.0,2.25,3.5,3.0,2.37,3.7,3.26,2.31,3.48,3.1,1.8,2.0,2.1,1.85,2.03,1.8,5,2021/2022
20/05/2022,Torino,Roma,0,3,A,3.3,3.6,2.1,3.4,3.5,2.05,3.62,3.86,2.15,3.43,3.63,2.11,1.72,2.1,2.18,1.8,2.12,1.75,4,2021/2022
13/08/2022,Monza,Torino,1,2,A,2.6,3.3,2.75,2.55,3.25,2.8,2.68,3.48,2.94,2.58,3.29,2.84,2.1,1.72,1.84,2.21,1.76,2.09,5,2022/2023
20/08/2022,Torino,Lazio,0,0,D,3.0,3.5,2.3,3.0,3.5,2.3,3.12,3.55,2.43,2.99,3.45,2.38,1.92,1.98,2.05,1.93,1.95,1.87,5,2022/2023
27/08/2022,Cremonese,Torino,1,2,A,3.2,3.4,2.25,3.1,3.3,2.3,3.39,3.6,2.35,3.23,3.39,2.29,2.03,1.87,1.93,2.04,1.85,1.98,5,2022/2023
01/09/2022,Atalanta,Torino,3,1,H,1.72,3.75,5.25,1.68,4.0,4.6,1.76,4.3,5.36,1.71,3.94,4.95,1.72,2.1,2.26,1.8,2.17,1.7,3,2022/2023
05/09/2022,Torino,Lecce,1,0,H,1.7,3.75,5.25,1.73,3.6,5.0,1.78,4.13,5.51,1.73,3.7,5.11,1.9,2.0,2.21,1.91,1.99,1.83,0,2022/2023
10/09/2022,Inter,Torino,1,0,H,1.45,4.75,7.0,1.44,4.6,6.75,1.48,5.1,8.0,1.45,4.77,7.01,1.66,2.2,2.35,1.73,2.23,1.67,5,2022/2023
17/09/2022,Torino,Sassuolo,0,1,A,1.8,3.75,4.5,1.8,3.8,4.2,1.92,4.0,4.6,1.83,3.77,4.3,1.72,2.1,2.14,1.83,2.07,1.77,5,2022/2023
01/10/2022,Napoli,Torino,3,1,H,1.6,4.0,5.75,1.6,4.1,5.5,1.65,4.3,5.9,1.6,4.13,5.57,1.8,2.0,2.1,1.89,2.02,1.8,5,2022/2023
09/10/2022,Torino,Empoli,1,1,D,1.72,3.6,5.0,1.75,3.7,4.75,1.82,3.86,5.3,1.76,3.67,4.86,2.0,1.8,1.88,2.09,1.8,2.04,6,2022/2023
15/10/2022,Torino,Juventus,0,1,A,3.0,3.1,2.5,3.1,3.25,2.35,3.18,3.3,2.61,3.05,3.17,2.5,2.3,1.61,1.71,2.39,1.64,2.28,5,2022/2023
23/10/2022,Udinese,Torino,1,2,A,2.0,3.3,4.0,2.0,3.4,3.8,2.08,3.5,4.15,2.03,3.37,3.91,2.06,1.84,1.85,2.07,1.8,2.02,6,2022/2023
30/10/2022,Torino,Milan,2,1,H,3.75,3.3,2.1,3.5,3.3,2.1,3.86,3.52,2.18,3.63,3.33,2.12,2.1,1.72,1.83,2.23,1.72,2.13,6,2022/2023
06/11/2022,Bologna,Torino,2,1,H,3.0,3.1,2.5,2.95,3.2,2.5,3.18,3.38,2.57,3.05,3.13,2.51,2.3,1.61,1.7,2.35,1.64,2.28,6,2022/2023
09/11/2022,Torino,Sampdoria,2,0,H,1.61,3.8,5.75,1.61,3.8,5.75,1.69,3.97,6.2,1.63,3.81,5.88,2.1,1.72,1.8,2.19,1.74,2.12,2,2022/2023
13/11/2022,Roma,Torino,1,1,D,1.9,3.4,4.33,1.88,3.5,4.2,1.97,3.61,4.6,1.92,3.44,4.28,2.2,1.66,1.75,2.29,1.68,2.19,6,2022/2023
04/01/2023,Torino,Verona,1,1,D,1.83,3.4,4.5,1.83,3.6,4.33,1.9,3.82,4.7,1.85,3.6,4.42,2.07,1.83,1.91,2.07,1.82,2.0,2,2022/2023
08/01/2023,Salernitana,Torino,1,1,D,3.7,3.2,2.15,3.5,3.2,2.15,3.83,3.36,2.21,3.67,3.26,2.15,2.2,1.67,1.75,2.26,1.7,2.16,6,2022/2023
15/01/2023,Torino,Spezia,0,1,A,1.62,3.8,5.5,1.63,3.9,5.5,1.7,4.05,6.0,1.65,3.88,5.56,2.07,1.83,1.87,2.09,1.81,2.03,6,2022/2023
21/01/2023,Fiorentina,Torino,0,1,A,2.1,3.3,3.6,2.05,3.4,3.6,2.21,3.5,3.8,2.13,3.35,3.61,2.2,1.67,1.74,2.28,1.68,2.2,5,2022/2023
28/01/2023,Empoli,Torino,2,2,D,3.25,3.1,2.4,3.1,3.1,2.4,3.5,3.15,2.56,3.24,3.06,2.44,2.2,1.67,1.7,2.34,1.66,2.25,5,2022/2023
05/02/2023,Torino,Udinese,1,0,H,2.25,3.25,3.3,2.25,3.2,3.3,2.39,3.3,3.55,2.32,3.18,3.34,2.2,1.67,1.78,2.25,1.7,2.18,6,2022/2023
10/02/2023,Milan,Torino,1,0,H,1.8,3.5,4.75,1.83,3.4,4.6,1.9,3.72,5.1,1.83,3.5,4.81,2.2,1.67,1.76,2.28,1.71,2.18,4,2022/2023
20/02/2023,Torino,Cremonese,2,2,D,1.65,3.8,5.25,1.66,3.75,5.25,1.7,3.86,6.0,1.67,3.76,5.47,2.1,1.73,1.8,2.19,1.74,2.12,0,2022/2023
28/02/2023,Juventus,Torino,4,2,H,1.73,3.4,5.5,1.77,3.3,5.25,1.83,3.52,5.5,1.78,3.43,5.28,2.5,1.53,1.62,2.58,1.55,2.49,1,2022/2023
06/03/2023,Torino,Bologna,1,0,H,2.4,2.9,3.4,2.25,3.0,3.4,2.45,3.1,3.66,2.37,3.01,3.41,2.38,1.57,1.62,2.5,1.57,2.4,0,2022/2023
12/03/2023,Lecce,Torino,0,2,A,3.0,3.0,2.63,2.95,2.95,2.6,3.05,3.16,2.75,2.98,2.99,2.67,2.75,1.44,1.5,2.8,1.47,2.7,6,2022/2023
19/03/2023,Torino,Napoli,0,4,A,4.33,3.6,1.75,4.75,3.5,1.78,5.2,3.74,1.82,4.89,3.54,1.79,2.2,1.67,1.73,2.33,1.66,2.24,6,2022/2023
03/04/2023,Sassuolo,Torino,1,1,D,2.4,3.3,3.0,2.45,3.2,2.95,2.54,3.46,3.05,2.46,3.27,2.99,2.1,1.73,1.81,2.17,1.75,2.1,0,2022/2023
08/04/2023,Torino,Roma,0,1,A,3.4,3.0,2.38,3.4,3.0,2.35,3.5,3.1,2.44,3.38,3.02,2.39,2.75,1.44,1.51,2.75,1.47,2.67,5,2022/2023
16/04/2023,Torino,Salernitana,1,1,D,1.73,3.5,5.25,1.72,3.5,5.25,1.78,3.75,5.7,1.74,3.56,5.28,2.2,1.67,1.71,2.32,1.65,2.25,6,2022/2023
22/04/2023,Lazio,Torino,0,1,A,1.83,3.4,4.75,1.83,3.3,4.6,1.91,3.45,5.25,1.85,3.33,4.88,2.63,1.5,1.56,2.66,1.51,2.56,5,2022/2023
